City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,richards bay,-28.783,32.0377,27.87,72,75,6.6,ZA,1738844444
310,pandan,14.0453,124.1694,25.35,90,99,8.36,PH,1738844445
311,neuruppin,52.9282,12.8031,4.72,86,100,2.5,DE,1738844446
312,akureyri,65.6835,-18.0878,5.96,93,100,19.55,IS,1738844447
313,panguipulli,-39.6333,-72.3333,12.42,82,68,0.39,CL,1738844449
314,narasannapeta,18.4167,84.05,26.76,67,17,3.9,IN,1738844450
315,nchelenge,-9.3451,28.734,24.42,69,100,0.76,ZM,1738844451
316,whitecourt,54.1502,-115.6855,-12.47,87,100,3.86,CA,1738844452
317,kirillov,59.863,38.3813,-0.89,87,100,1.38,RU,1738844453
318,tateyama,34.9833,139.8667,6.64,55,76,8.31,JP,1738844454
319,claveria,18.6074,121.0832,23.4,91,98,7.09,PH,1738844455
320,mount gambier,-37.8333,140.7667,16.09,98,2,2.99,AU,1738844417
321,borogontsy,62.6683,131.1683,-38.13,100,33,1.87,RU,1738844457
322,tsiombe,-25.3,45.4833,28.28,80,50,3.13,MG,1738844458
323,chernyshevskiy,63.0128,112.4714,-31.6,97,89,2.1,RU,1738844459
324,wynyard,-41.0,145.7167,18.44,92,100,5.81,AU,1738844460
325,bandundu,-3.3167,17.3667,31.35,53,71,1.62,CD,1738844461
326,dunedin,-45.8742,170.5036,11.0,89,60,3.3,NZ,1738844462
327,fort mcmurray,56.7268,-111.381,-13.23,78,100,2.57,CA,1738844463
328,al ghayzah,16.2079,52.176,24.15,56,7,5.74,YE,1738844464
329,jalingo,8.8833,11.3667,38.28,8,2,2.68,NG,1738844466
330,illizi,26.4833,8.4667,25.76,17,0,0.82,DZ,1738844467
331,saudarkrokur,65.7461,-19.6394,6.59,90,100,16.37,IS,1738844468
332,porto novo,6.4965,2.6036,31.9,51,25,4.5,BJ,1738844469
333,soio,-6.1349,12.3689,28.72,70,69,4.31,AO,1738844470
334,vadso,70.0744,29.7487,-0.91,69,0,3.6,NO,1738844319
335,cooma,-36.2333,149.1333,17.62,92,73,1.91,AU,1738844472
336,xilin hot,43.9667,116.0333,-22.53,76,57,6.81,CN,1738844473
